,acc,auroc
without-sg,0.7966862271315154,0.7723548284033122
pissa-with-sg-sampling,0.7894373489817053,0.7299572914372296
with-sg-sampling,0.7987573351743182,0.7151224497699377
pissa-with-sg,0.7977217811529168,0.7997647337885364
pissa-with-sg-sampling-default,0.7880566102865033,0.7330896359424808
pissa-without-sg-memes,0.7894373489817053,0.7298901243861173
pissa-without-sg,0.8066965826717294,0.8018227080302748
with-sg,0.8039351052813255,0.786649610673147
without-sg-memes,0.7918536416983086,0.7575066743475114
pretrained,0.6965826717293753,0.6375638692094137
pretrained-sampling,0.6686227131515361,0.6176748582230625
with-sg-loraplus,0.8063513979979289,0.7991163599573036
with-sg-dora,0.7959958577839144,0.7889629407308258
with-sg-rslora,0.804280289955126,0.8191944673713357
